NAME    AGE   CITYZEN
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
abc     12    hyderabad
bef     25    delhi
cce     65    bangalore 
Yakary  256   parut
